,Provider_Id,HoldingCompanyName,DBAName,ProviderName,num_block
52,43510,Chickasaw Holding Company,"Chickasaw Telecommunications Services, Inc.","Chickasaw Telecommunications Services, Inc.",1288
53,43510,Chickasaw Holding Company,Chickasaw Telephone Company,"Chickasaw Telecommunications Services, Inc.",2304
54,43511,"Hargray Communications Group, Inc.",Bluffton Tel. Co. Inc.,"Hargray of Georgia, Inc.",4
55,43511,"Hargray Communications Group, Inc.",Hargray Tel. Co. Inc.,"Hargray of Georgia, Inc.",20
56,43511,"Hargray Communications Group, Inc.","Hargray of Georgia, Inc.","Hargray of Georgia, Inc.",767
57,43511,"Hargray Communications Group, Inc.","Hargray, Inc.","Hargray of Georgia, Inc.",1215
58,43512,"Eastex Telephone Cooperative, Inc.",Eastex Net,"Eastex Celco, LLC",42
59,43514,"Ind. Co. Cable TV, Inc.",Ind-Co Cable TV Inc.,"Ind. Co. Cable TV, Inc",2628
60,43515,"Palmetto Rural Telephone Cooperative, Inc.",Palmetto Rural Telephone Cooperative Inc,Palmetto Rural Telephone Cooperative Inc,2344
61,43516,Blue Mountain TV Cable Company,Blue Mountain Digital,Charles McKenna,1626
62,43517,"Palmetto Rural Telephone Cooperative, Inc.","Palmetto Telephone Communications, LLC","Palmetto Telephone Communications, LLC",2507
63,43518,"Citizens Telephone Cooperative, Inc. (WI)",Citizens Telephone Coop Inc.,"Citizens Telephone Cooperative, Inc.",315
64,43518,"Citizens Telephone Cooperative, Inc. (WI)",Citizens Telephone Coop. Inc.,"Citizens Telephone Cooperative, Inc.",218
65,43518,"Citizens Telephone Cooperative, Inc. (WI)","Citizens Telephone Cooperative, Inc.","Citizens Telephone Cooperative, Inc.",63
66,43520,"Brolly Communications, Inc.",Brolly Communications Inc.,"Brolly communications, lnc.",291
67,43521,"Asset Black, LLC",AssetBlack,"Asset Black, LLC",362
68,43522,Chaparral Holding Co. Inc.,Chaparral CableVision,Chaparral CableVision Inc.,183
69,43524,Uniti Group Inc.,Benchmark,"Benchmark Communications, LLC d/b/a Com One",13
70,43525,Great Lakes Energy,"Great Lakes Energy Connections, Inc.","Great Lakes Energy Connections, Inc.",232
71,43526,Winnebago Cooperative Telecom Association,Winnebago Cooperative Telecom Association,Winnebago Cooperative Telecom Association,2618
72,43527,"Sterling Communications, Inc.",Sterling Communications,"Sterling Communications, Inc.",33
73,43528,Winnebago Cooperative Telecom Association,Winnebago Cooperative Telecom Association-CLEC,Winnebago Cooperative Telecom Association,1434
74,43530,"Mid-Plains Rural Telephone Cooperative, Inc.",Mid-Plains Communications,"Mid-Plains Rural Telephone Cooperative, Inc.",1177
75,43531,Monon Telephone Company Inc.,Monon Telephone Company,Monon Telephone Company Inc.,507
76,43532,Industry Telephone Company,Industry I-Net,Industry Telephone Company,769
77,43533,Tullahoma Utilities Authority,Tullahoma Utilities Authority,Tullahoma Utilities Board,509
78,43535,H&B Enterprises Inc.,H & B Cable,"H&B Cable, Inc",2773
79,43535,H&B Enterprises Inc.,H&B Cable,"H&B Cable, Inc",111
80,43536,"Celito Communications, Inc.",Celito,"Celito Communications, Inc.",70
81,43537,Gardonville Coop. Tele. Assn.,Gardonville Telephone,Gardonville Coop.  Tele. Assn.,1329
82,43542,Upsala Cooperative Telephone Association,Sytek,UPSALA COOPERATIVE TELEPHONE ASSOCIATION,187
83,43545,Oxford Telephone and Telegraph,Oxford West Telephone Company,Oxford West Telephone Company,1460
84,43548,"Country Wireless, LLC",Country Wireless,Country Wireless LLC,9654
85,43550,Greenfield Community Energy & Technology,Greenfield Community Energy & Technology (GCET),Greenfield Community Energy & Technology (GCET),14
86,43551,H&B Enterprises Inc.,H & B Communcations,"H&B Communications, Inc",773
87,43552,Mountain Rural Telephone Cooperative Corporation,Mountain Rural Telephone Coop,Mountain Rural Telephone Cooperative Corporation,4412
88,43553,Gardonville Coop. Tele. Assn.,Wisper,Gardonville Coop.  Tele. Assn.,9906
89,43555,WiSpan Internet LLC,WiSpan Internet LLC,WiSpan Internet LLC,2033
90,43556,"South Plains Telephone Cooperative, Inc.","South Plains Telephone Cooperative, Inc.","South Plains Telephone Cooperative, Inc.",1012
91,43558,"Mahaska Communication Group, LLC",Mahaska Communication Group LLC,Mahaska Communication Group,2038
92,43559,"St. John Telephone, Inc.",St. John Cable,St. John Cable Co.,196
93,43561,Western Elite Incorporated Services,R&R Cable,R & R Cable Company,188
94,43564,Google Fiber Inc.,"Google Fiber Kansas, LLC","Google Fiber Kansas, LLC",7641
95,43565,Google Fiber Inc.,"Google Fiber Missouri, LLC","Google Fiber Missouri, LLC",11195
96,43566,"Consolidated Communications, Inc.",Consolidated Communications,Chouteau Telephone Company,523
97,43567,Fenton Cooperative Telephone Company,Fenton Coop Telephone Co,Fenton Cooperative Telephone Company,130
98,43568,"Consolidated Communications, Inc.",Consolidated Communications,Ellensburg Telephone Company,3063
99,43569,Corn Belt Telephone Company,Corn Belt Telephone Company,Corn Belt Telephone Company,135
100,43570,"Consolidated Communications, Inc.",Consolidated Communications,"YCOM Networks, Inc",1367
101,43571,NTX Fiberwave,NTX Fiberwave,Tristan Livingston,6
102,43572,Corn Belt Telephone Company,Corn Belt Telephone Company,Corn Belt Telephone Company,253
103,43573,"Consolidated Communications, Inc.",Consolidated Communications,C-R Telephone Company,600
104,43575,"Mid-Plains Rural Telephone Cooperative, Inc.",Mid-Plains Communications,"Mid-Plains Rural Telephone Cooperative, Inc.",137
105,43576,Union Holding Corp.,Union Telephone Company,Union Telephone Company,587
106,43579,Ben Lomand,Ben Lomand Connect,"Ben Lomand Communications, LLC",4803
107,43582,"Consolidated Communications, Inc.",Consolidated Communications,"Big Sandy Telecom, Inc.",661
108,43585,"Consolidated Communications, Inc.",Consolidated Communications,"GTC, Inc.",7743
109,43586,"Excel.Net, Inc.","Excel.Net, Inc.","Excel.Net, Inc.",6734
110,43588,"Consolidated Communications, Inc.",Consolidated Communications,"Odin Telephone Exchange, Inc",2053
111,43591,Western Elite Incorporated Services,Inland Networks,Inland Telephone Company,682
112,43594,"Consolidated Communications, Inc.",Consolidated Communications,El Paso Telephone Company,660
113,43595,"North Central Telephone Cooperative, Inc.",North Central Telephone,"North Central Telephone Cooperative, Inc.",2679
114,43596,"Salina Spavinaw Telephone Co., Inc.",Salina-Spavinaw Telephone Company,Salina Spavinaw Telephone Company Inc.,1862
115,43598,"Omnispring, LLC",OmniSpring,"Omnispring, LLC",124
116,43599,"Consolidated Communications, Inc.",Consolidated Communications,Bluestem Telephone Company,627
117,43601,Plumas-Sierra Rural Electric Cooperative,Plumas Sierra,Plumas-Sierra Telecommunications,646
118,43602,"Consolidated Communications, Inc.",Consolidated Communications,Sunflower Telephone Company,2370
119,43605,Ben Lomand,Ben Lomand Connect,"Volunteer First Services,LLC",4803
120,43607,"Balatize Broadband Services, LLC",Balatize Broadband Services LLC,"Balatize Broadband Services, LLC",134
121,43608,"Consolidated Communications, Inc.",Consolidated Communications,Columbine Telecom Company,654
122,43613,Utah Telecommunication Open Infrastructure Agency,UTOPIA,Utah Telecommunication Open Infrastructure Agency,3182
123,43614,Atlantic Telephone Membership Corporation,"Atlantic Telecom Multimedia Consolidated, LLC","Atlantic Telecom Multimedia Consolidated, LLC",839
124,43617,"Consolidated Communications, Inc.",Consolidated Communications,Germantown Independent Telephone Company,232
125,43618,"Tailwind Voice & Data, Inc.",TailwindVoiceandData,"TailWind Voice & Data, Inc.",199
126,43619,Central Oklahoma Telephone Co.,Central Oklahoma Telephone Co LLC,"Central Oklahoma Telephone Co., LLC",1114
127,43620,"Consolidated Communications, Inc.",Consolidated Communications,Columbus Grove Telephone Co.,777
128,43622,WISPRENN,WISPRENN,WISPRENN,12
129,43623,"Consolidated Communications, Inc.",Consolidated Communications,ExOp of Missouri Inc.,947
130,43624,"Consolidated Communications, Inc.",Consolidated Communications,ORWELL TELEPHONE COMPANY,3581
131,43625,"Consolidated Communications, Inc.",Consolidated Communications,"FairPoint Broadband, Inc.",651
132,43626,"Hardy Telecommunications, Inc.","HardyNet, Inc.","Hardy Telecommunications,Inc CLEC",5213
133,43627,"Consolidated Communications, Inc.",Consolidated Communications,"FairPoint Communications Missouri, Inc.",1958
134,43628,Consolidated Communications,Consolidated Communications,Bentleyville Communications Corporation,1682
135,43630,"Consolidated Communications, Inc.",Consolidated Communications,Marianna Scenery Hill Telephone Company,493
136,43631,Nunn Telephone Company,Nunn Telephone Company,Nunn Telephone Company,243
137,43632,"Poka Lambro Telephone Cooperative, Inc.","Poka Lambro Telecommunications, Ltd.","Poka Lambro Telecommunications, Ltd.",3421
138,43633,"Hardy Telecommunications, Inc.","HardyNet, Inc.",Hardy Telecommunications Inc,5213
139,43634,"Poka Lambro Telephone Cooperative, Inc.",PokaLambroTelephoneCooperativeInc,"Poka Lambro Telephone Cooperative, Inc.",4355
140,43636,Cooperative Telephone Exchange,Cooperative Telephone Exchange,Cooperative Telephone Exchange,205
141,43637,MBO Corporation,Cimarron Telephone,Cimarron Telephone Company,1563
142,43639,Farmers Mutual Telephone Cooperative,Farmers Mutual Telephone Cooperative,Farmers Mutual Telephone Cooperative,1218
143,43640,"Standard Tobacco Company, Inc.",Bracken Cable,"Standard Tobacco Company, Inc.",81
144,43640,"Standard Tobacco Company, Inc.",Limestone Cable,"Standard Tobacco Company, Inc.",397
145,43642,"Boycom Cablevision, Inc./Partel Broadband Telecommunications, Inc.",Boycom Cablevision Inc,"Boycom Cablevision, Inc.",906
146,43643,Coldwater Board of Public Utilities,Coldwater Board of Public Utilities,Coldwater Board of Public Utilities,610
147,43649,"Pencor Services, Inc.",Blue Ridge Communications,"Blue Ridge Cable Technologies, Inc.",20765
148,43650,Brick Skirt Holdings,DFT Communications Netsync,Dunkirk and Fredonia Telephone Company,578
149,43651,Brick Skirt Holdings,DFT Communications Netsync,Cassadaga Telephone Corporation,1
150,43651,Brick Skirt Holdings,DFT Communications/Netsync,Cassadaga Telephone Corporation,189
151,43652,Brick Skirt Holdings,DFT Communications Netsync,DFT Local Service Corporation,928
152,43652,Brick Skirt Holdings,DFT Communications/Netsync,DFT Local Service Corporation,1154
153,43652,Brick Skirt Holdings,DFT Communications/Netsync Internet Services,DFT Local Service Corporation,2548
154,43655,"Consolidated Communications, Inc.",Consolidated Communications,Community Service Telephone Co,1069
155,43656,Harbor Communications,Harbor Communications,"Harbor Communications, LLC",157457
156,43661,Johnco PTP LLC,Johnco PTP LLC,Johnco PTP LLC,26
157,43664,Catalina Broadband Solutions LLC,CatalinaBroadbandSolutions,Catalina Broadband Solutions LLC,126
158,43667,"Peoples Rural Telephone Cooperative Corporation, Inc.",Peoples Rural Telephone Coop Corp,Peoples Rural Telephone Coop Corp,1199
159,43668,"Consolidated Communications, Inc.",Consolidated Communications,Sidney Telephone Company,109
160,43670,"Peoples Rural Telephone Cooperative Corporation, Inc.","Peoples Telecom, LLC","Peoples Telecom, LLC",251
161,43671,Community Communications Company,CCC Cablevision,COMMUNITY COMMUNICATIONS COMPANY,1310
162,43672,"American Wireless, Inc.","American Wireless, Inc DBA AWI Networks","American Wireless, Inc.",7745
163,43673,"Consolidated Communications, Inc.",Consolidated Communications,"FairPoint Vermont, Inc",3536
164,43674,"Consolidated Communications, Inc.",Consolidated Communications,"Utilities, Inc.",2282
165,43676,Single Path LLC,SinglePath,Single Path LLC,7
166,43681,"S-Net Communications, Inc.",SNET,"S-Net Communications, Inc.",199
167,43682,"Ultimate Internet Access, Inc.","Ultimate Internet Access, Inc","Ultimate Internet Access, Inc",190
168,43682,"Ultimate Internet Access, Inc.","Ultimate Internet Access, Inc.","Ultimate Internet Access, Inc",4267
169,43683,Google Fiber Inc.,"Google Fiber Utah, LLC","Google Fiber Utah, LLC",2010
170,43684,Google Fiber Inc.,"Google Fiber California, LLC","Google Fiber California, LLC",146
171,43685,Google Fiber Inc.,"Google Fiber Texas, LLC","Google Fiber Texas, LLC",3976
172,43686,Google Fiber Inc.,"Google Fiber Tennessee, LLC","Google Fiber Tennessee, LLC",745
173,43687,Google Fiber Inc.,"Google Fiber Georgia, LLC","Google Fiber Georgia, LLC",577
174,43688,Google Fiber Inc.,"Google Fiber North Carolina, LLC","Google Fiber North Carolina, LLC",1609
175,43689,Google Fiber Inc.,"Google Fiber Alabama, LLC","Google Fiber Alabama, LLC",2012
176,43691,Google Fiber Inc.,"Webpass, Inc.","Webpass, Inc.",1308
177,43694,"Consolidated Communications, Inc.",Consolidated Communications,Taconic Telephone Corp.,6836
178,43695,"Consolidated Communications, Inc.",Consolidated Communications,Berkshire Telephone Corp.,1019
179,43696,"Consolidated Communications, Inc.",Consolidated Communications,Chautauqua & Erie Telephone Corporation,1390
180,43698,Farmers Mutual Telephone Company (OH),bright net north inc,bright.net north Inc,7769
181,43700,"Jenco Wireless, LLC",Jenco Wireless LLC,Jenco Wireless,292
182,43704,"Seiontec Systems, LLC",Seiontec Systems LLC,"Seiontec Systems, LLC",10760
183,43719,JB-Nets,JB Nets LLC,JB-Nets,1597
184,43724,"WON Communications, LLC",WON Communications,Wide Open Networks,89
185,43729,"Wheeler Brothers Grain Co., Inc.",Wheeler Brothers,"WHEELER BROTHERS GRAIN CO., INC",2197
186,43735,Nexogy Inc.,Nexogy,NEXOGY INC,81
187,43738,"Universal Telcom, LLC",Universal,"Universal Telcom, LLC",58
188,43755,"Tularosa Basin Telephone Company, Inc.",Tularosa Basin Telephone Co,"Tularosa Communications, Inc",3435
189,43756,HRS Internet LLC,Lightbound,"HRS Internet, LLC d/b/a Lightbound",113
190,43761,Jackson Energy Authority,Jackson Energy Authority,Jackson Energy Authority,1392
191,43774,"Honeyberry Hill Consulting, LLC",WiSER Communications,"Honeyberry Hill Consulting, LLC",48
192,43777,Oak Run Associates Ltd.,DECCACable,Oak Run Associates Ltd/ DECCA Cable,194
193,43781,TellerWifi LLC,TellerWifi,TellerWifi LLC,131
194,43784,PrineTime Internet Solutions,PrineTIME Internet Solutions,PrineTime Internet Solutions,6512
195,43785,Marne & Elk Horn Telephone Company,Marne & Elk Horn Telephone Company,Marne & Elk Horn Telephone Company,1657
196,43787,Rocket Connect,Rocket Connect LLC,CISC LLC,14
197,43789,Plainview Telephone Co. Inc.,Nyecom Teleservices,Plainview Telephone Company,603
198,43792,"Harlan Community Television, Inc.",Harlan Community Television Inc,Harlan Community Television Inc,1132
199,43794,"WestPAnet, Inc.","WestPAnet, Inc.","WestPAnet, Inc.",872
200,43798,"Northern Telephone Cooperative, Inc.",NORTHERN TELEPHONE,"Northern Telephone Cooperative, Inc.",1159
201,43800,Pioneer Telephone Cooperative (OR),PioneerTelephoneCooperative,Pioneer Telephone Cooperative,1138
202,43804,Plainview Telephone Co. Inc.,Nyecom Teleservices,"Nyecom Teleservices, Inc.",76
203,43809,Cherokee Telephone Company,Cherokee Telephone Company,Cherokee Telephone Company,1869
204,43815,Bristol Bay Telephone Cooperative,Bristol Bay Internet,Bristol Bay Telephone Cooperative Inc,156
205,43818,"Kinetix Broadband, LLC",Kinetix Broadband,Kinetix Broadband,16
206,43821,Alma Communications Company,Alma Telephone Co,Alma Communications Company,115
207,43822,"MINetworks, Inc.",MINetworks,"MINetworks, Inc.",32
208,43832,UniFi North LLC,UniFi North,UniFi North LLC,363
209,43833,Tekfinity,Tekfinity,Tekfinity,65
210,43834,Yellowstone Media Design,Yellowstone Media Design,Edward Winters,171
211,43836,Midcontinent Communications,InvisiMax,Midcontinent Communications,2626
212,43836,Midcontinent Communications,Midcontinent Communications,Midcontinent Communications,33992
213,43837,"Wharton County Electric Cooperative, Inc.","Wharton County Electric Cooperative, Inc.",Wharton County Electric Cooperative Inc,2339
214,43844,"Computer Techniques, Inc.",CTI Fiber,"Computer Techniques, Inc.",913
215,43845,"LaHarpe Telephone Company, Inc. (KS)","LaHarpe Telephone Company, Inc.","LaHarpe Telephone Company, Inc.",176
216,43853,Westfield Gas & Electric,Whip City FIber,Westfield Gas and Electric,450
217,43855,"Townes Telecommunications, Inc.",Choctaw Telephone Co,Choctaw Telephone Company,189
218,43857,"Townes Telecommunications, Inc.",Haxtun Telephone Co,Haxtun Telephone Company,887
219,43858,"Block Communications, Inc.",MaxxSouth,"BCI Mississippi Broadband, LLC",10618
220,43859,Town of Pineville,Town of Pineville,Town of Pineville,46
221,43860,Parish Communications,PARISH COMMUNICATIONS,PARISH COMMUNICATIONS,215
222,43861,Town of Pineville,Town of Pineville,Town of Pineville,55
223,43874,Neptune Holdings US Corp,Cablevision,CSC Holdings LLC,181601
224,43875,NexGen Wireless LLC,NexGen Wireless LLC,NexGen Wireless LLC,141
225,43876,"Cordova Telephone Cooperative, Inc.",Cordova Telephone Cooperative Inc,Cordova Telephone Cooperative Inc,66
226,43878,"Hickory Utility Services, Inc.",HickoryTelephoneCompany,Hickory Telephone Company,560
227,43880,Scottsboro Electric Power Board,Scottsboro Electric Power Board,Scottsboro Electric Power Board,2199
228,43881,Alta Municipal Utilities,Altatec,Alta Municipal Utilities,75
229,43884,"ATV Holdings, LLC",Mitchell Telecom,"ATV Holdings, LLC dba Mitchell Telecom",710
230,43884,"ATV Holdings, LLC",Mitchell Telecom Fiber -2,"ATV Holdings, LLC dba Mitchell Telecom",3
231,43886,Ringsted Telephone Company,Ringsted Telephone Company,Ringsted Telephone Company,310
232,43890,Lenox Municipal Utilities,LENOX MUNICIPAL UTILITIES,LENOX MUNICIPAL UTILITIES,128
233,43892,"Stanton Telecom, Inc.",Clarkson Wireless,"Stanton Telecom, Inc.",910
234,43892,"Stanton Telecom, Inc.",Stanton Telecom Inc.,"Stanton Telecom, Inc.",693
235,43893,"Redzone Wireless, LLC","Redzone Wireless, LLC","Redzone Wireless, LLC",1842
236,43896,Air Bridge Broadband LLC,AirBridge Broadband LLC,AirBridge Broadband LLC,248
237,43908,Maquoketa Valley Rural Electric Cooperative,Maquoketa Valley Rural Electric Cooperative,Maquoketa Valley Rural Electric Cooperative d/b/a Maquoketa Valley Electric Cooperative,1335
238,43914,Onslow Cooperative Telephone Association,Onslow Cooperative Telephone Company,Onslow Cooperative Telephone Association,50
239,43915,"Venture Communications Cooperative, Inc./Western Telephone Company",Western Telephone Company,Western Telephone Company,761
240,43918,"Venture Communications Cooperative, Inc./Western Telephone Company","Venture Communications Cooperative, Inc","Venture Communications Cooperative, Inc.",7681
241,43919,Paragould Light and Water Commission,Paragould Light & Water Commission,Paragould Light & Water Commission,1044
242,43921,"Center Junction Telephone Company, Inc.",Center Junction Telephone Company,"Center Junction Telephone Company, Inc.",91
243,43922,"Armstrong Holdings, Inc.",ArmstrongUtilitiesInc,"Armstrong Utilities, Inc.",46568
244,43923,Day Management Corporation,Trans Cascade,Trans-Cascades Telephone Company,83
245,43924,"RiverStreet Management Services, LLC",Consolidated Communications,Peoples Mutual Telephone Company dba RiverStreet Networks,1090
246,43925,Miles Cooperative Telephone Association,Miles Cooperative Telephone Association,Miles Cooperative Telephone Association,11
247,43929,Merrill Information Systems,Kingdom Connection,Kingdom Connection,2091
248,43931,Miles Cooperative Telephone Association,Miles Cooperative Telephone Association,Miles Cooperative Telephone Association,143
249,43933,Verso Networks Inc.,Verso Networks,Verso Networks,686
250,43935,"Citynet, LLC",Citynet LLC,"Citynet Holdings, LLC",939
251,43936,T G Ferguson Company,Complete Computers,T G Ferguson Co dba Complete Computers,392
252,43937,Day Management Corporation,Cascade Utilities,"Cascade Utilities, Inc.",1020
253,43941,LICT Corporation,Bretton Woods Telephone Company,"Bretton Woods Tel.Co., Inc.",67
254,43942,Day Management Corporation,Rio Virgin,Rio Virgin Telephone Company,353
255,43951,"Telephone and Data Systems, Inc.",TDS TELECOM,TDS TELECOMMUNICATIONS LLC,79877
256,43952,"Telephone and Data Systems, Inc.",BendBroadband,TDS BROADBAND SERVICE LLC,3945
257,43952,"Telephone and Data Systems, Inc.",TDS,TDS BROADBAND SERVICE LLC,13753
258,43953,PathFinders USA Inc.,PC Internet,SMS LLC,3085
259,43955,"Telephone and Data Systems, Inc.",Merrimac Communications Ltd,"TDS METROCOM, LLC",603
260,43955,"Telephone and Data Systems, Inc.",tds metrocom,"TDS METROCOM, LLC",28925
261,43962,"Anza Electric Cooperative, Inc.",Anza Electric Cooperative,"Anza Electric Cooperative, Inc.",214
262,43966,Sjoberg's Inc.,SjobergsInc,Sjoberg's Inc.,2042
263,43973,BM Service Corp.,Rock Solid Internet & Telephone,BM Service Corp. dba Rock Solid Internet & Telephone,1447
264,43975,CNSP Internet,"CNSP, Internet, dba NMSURF","CNSP, Internet, dba NMSURF",36868
265,43977,"Appia Communications, Inc.",BroadRiver Communication,BroadRiver Communication Corporation,58
266,43980,"Southeast Nebraska Communications, Inc.","SOUTHEAST NEBRASKA COMMUNICATIONS, INC","SOUTHEAST NEBRASKA COMMUNICATIONS, INC.",1614
267,43981,StarTouch Broadband,StarTouch Broadband,StarTouch Broadband,146816
268,43983,"CTI Networks, Inc.",PA.net,"CTI Networks, Inc",8789
269,43984,"CresComm WiFi, LLC",CresComm WiFi LLC,"Crescomm WIFI, LLC",13
270,43988,Crown Castle Fiber Holdings Corp. (f/k/a LTS Group Holdings LLC),Lightower,"Lightower Fiber Networks I, LLC",292106
271,43989,Atkins Telephone Company,Atkins Telephone Company,Atkins Telephone Company,234
272,43990,"Traceroad, Inc.",Smithville,Smithville Telephone Company Inc.,215
273,43991,Marne & Elk Horn Telephone Company,Marne Elk Horn,Walnut Telephone Company,418
274,43992,"Massillon Cable TV, Inc.",MCTV,"Massillon Cable TV, Inc.",5518
275,43993,Atkins Telephone Company,"ATC Communications, Inc.","ATC Communications, Inc.",1
276,43999,"ATG Communications, LLC",ATG Communications,"ATG Communications, LLC",27810
277,44001,Marne & Elk Horn Telephone Company,Marne Elk Horn,Walnut Telephone Company,902
278,44002,"Florida Phone Systems, Inc.","Florida Phone Systems, Inc.","Florida Phone Systems, Inc.",40
279,44009,Cincinnati Bell Inc.,CBTS Technology Solutions LLC,CBTS Technology Solutions LLC,2417
280,44011,"West Texas Rural Telephone Coop., Inc.","West Texas Rural Telephone Coop, Inc.",West Texas Rural Telephone Cooperative Inc.,2296
281,44012,"CenturyLink, Inc.",CenturyLink,"Level  3 Communications, LLC",120833
282,44014,Hallettsville Communications,Hallettsville Communications,Hallettsville Communications,2029
283,44021,"Kentec Communications, Inc.","Kentec Communications, Inc.","Kentec Communications, Inc.",7883
284,44022,McDonough Telephone Cooperative Inc.,McDonough Telephone Cooperative,McDonough Telephone Cooperative,1960
285,44026,"Net Liquidations, Inc.",Planet Connect,"Net Liquidations, Inc.",145
286,44026,"Net Liquidations, Inc.",Seviernet,"Net Liquidations, Inc.",570
287,44026,"Net Liquidations, Inc.",WireTower,"Net Liquidations, Inc.",2074
288,44027,"Thermo Acquisitions, Inc.",FiberLight,FiberLight LLC,158
289,44028,Castleberry Communications,CastleberryTelephone,Castleberry Telephone Company Inc,266
